13.522888 13.557180 13.521445 13.521445 
13.558650 13.593326 13.557180 13.557180 
13.595035 13.626367 13.593326 13.593326 
13.628643 13.662778 13.626367 13.626367 
13.665125 13.699149 13.662778 13.662778 
13.702058 13.738407 13.699149 13.699149 
13.741668 13.773918 13.738407 13.738407 
13.777616 13.808696 13.773918 13.773918 
13.812837 13.847218 13.808696 13.808696 
13.852495 13.880321 13.847218 13.847218 
13.885868 13.909223 13.880321 13.880321 
13.914265 13.942718 13.909224 13.909233 
13.950941 13.976408 13.942766 13.943209 
13.987011 14.010497 13.976730 13.981080 
14.029492 14.048263 14.011183 14.029126 
14.048973 14.086882 14.084817 14.049609 14.068849 14.048972 
14.087635 14.114856 14.087228 14.098504 14.087058 14.087214 
14.115402 14.154503 14.114988 14.115048 
14.155064 14.194164 14.154554 14.154577 
14.194741 14.233826 14.194178 14.194184 
14.234419 14.261601 14.233827 14.233828 
14.262491 14.297140 14.261601 14.261601 
14.298196 14.328632 14.297140 14.297140 
14.330052 14.363422 14.328632 14.328632 
14.364776 14.398618 14.363422 14.363422 
14.400275 14.435170 14.398618 14.398618 
14.437145 14.474753 14.435170 14.435170 
14.476936 14.513132 14.474753 14.474753 
14.515701 14.551173 14.513132 14.513132 
14.554017 14.584212 14.551173 14.551173 
14.588096 14.619214 14.584212 14.584212 
14.623896 14.652906 14.619214 14.619214 
14.659643 14.687136 14.652906 14.652906 
14.699681 14.723602 14.688824 14.687329 
14.759162 14.725843 14.757259 14.757259 
14.794793 14.761904 14.759256 14.759197 
14.829802 14.798173 14.794793 14.794793 
14.867117 14.833621 14.829802 14.829802 
14.904449 14.871921 14.867117 14.867117 
14.942007 14.911015 14.904449 14.904449 
14.978832 14.952408 14.942067 14.942020 
15.018623 14.997703 14.991321 14.980555 
15.055421 15.022622 15.034380 15.034380 
15.092156 15.059970 15.055464 15.055538 
15.131463 15.097411 15.092156 15.092156 
15.164214 15.138407 15.131464 15.131463 
15.203476 15.172386 15.164397 15.164230 
15.237876 15.216662 15.209464 15.203833 
15.265813 15.238974 15.274724 15.267806 
15.302803 15.275000 15.290822 15.275274 
15.335242 15.303150 15.302809 15.302808 
15.370256 15.335662 15.335242 15.335242 
15.400173 15.370620 15.370256 15.370256 
15.436951 15.400640 15.400173 15.400173 
15.473792 15.437453 15.436951 15.436951 
15.512461 15.474337 15.473792 15.473792 
15.547295 15.513038 15.512461 15.512461 
15.584468 15.547974 15.547295 15.547295 
15.624125 15.585127 15.584468 15.584468 
15.661611 15.624811 15.624125 15.624125 
15.700900 15.662365 15.661611 15.661611 
15.737963 15.701694 15.700900 15.700900 
15.773072 15.738733 15.737963 15.737963 
15.805951 15.773983 15.773072 15.773072 
15.840629 15.806732 15.805951 15.805951 
15.879508 15.841558 15.840629 15.840629 
15.919002 15.880484 15.879508 15.879508 
15.958828 15.920039 15.919002 15.919002 
15.998368 15.959913 15.958828 15.958828 
16.037227 15.999497 15.998368 15.998368 
16.074180 16.038450 16.037227 16.037227 
16.110980 16.075383 16.074180 16.074180 
16.150283 16.112355 16.110980 16.110980 
16.189230 16.151748 16.150283 16.150283 
16.227782 16.190798 16.189230 16.189230 
16.265855 16.229467 16.227782 16.227782 
16.303359 16.267677 16.265855 16.265855 
16.340703 16.305375 16.303359 16.303359 
16.377675 16.343063 16.340703 16.340703 
16.417430 16.380593 16.377675 16.377675 
16.455453 16.420753 16.417430 16.417430 
16.494551 16.459671 16.455453 16.455453 
16.532171 16.499749 16.494551 16.494551 
16.568315 16.538457 16.532171 16.532171 
